SessionID,Name,Description,Severity,Line,Column,ParentFile,Code
,Custom UDF inserted,CUSTOM UDF 'ERROR_NUMBER_UDF' INSERTED.,Low,10,4,procedure/dbo/error_procedure.sql,MSCEWI1020
,Custom UDF inserted for ERROR_SEVERITY,CUSTOM UDF 'ERROR_SEVERITY_UDF' INSERTED FOR ERROR_SEVERITY FUNCTION.,Low,11,4,procedure/dbo/error_procedure.sql,MSCEWI4025
,Custom UDF inserted,CUSTOM UDF 'ERROR_STATE_UDF' INSERTED.,Low,12,4,procedure/dbo/error_procedure.sql,MSCEWI1020
,Custom UDF inserted,CUSTOM UDF 'ERROR_PROCEDURE_UDF' INSERTED.,Low,13,4,procedure/dbo/error_procedure.sql,MSCEWI1020
,Custom UDF inserted,CUSTOM UDF 'ERROR_LINE_UDF' INSERTED.,Low,14,4,procedure/dbo/error_procedure.sql,MSCEWI1020
,Custom UDF inserted,CUSTOM UDF 'ERROR_MESSAGE_UDF' INSERTED.,Low,15,4,procedure/dbo/error_procedure.sql,MSCEWI1020
,Default value removed from parameter,The default value 10 is not supported by Snowflake.,Low,1,44,procedure/dbo/numericprocedure1.sql,MSCEWI4009
,Sequence warning,GENERATED BY DEFAULT,Low,10,13,table/dbo/numerictable.sql,MSCEWI1048
,Custom UDF inserted,CUSTOM UDF 'FUNCTION_OBJECT_ID_UDF' INSERTED.,Low,3,9,procedure/dbo/object_id_procedure.sql,MSCEWI1020
,Verification of functional equivalence for function is pending.,"'CAST' FUNCTION MAPPED TO 'CAST', FUNCTIONAL EQUIVALENCE VERIFICATION PENDING",Low,3,15,unknown/views/views.sql,MSCEWI1046
,Custom UDF inserted,CUSTOM UDF 'PROCEDURE_OBJECT_ID_UDF' INSERTED.,Low,4,5,procedure/dbo/object_id_procedure.sql,MSCEWI1020
,Recursion for CTE not checked.,PERFORMANCE WARNING - RECURSION FOR CTE NOT CHECKED. MIGHT REQUIRE RECURSIVE KEYWORD,Low,27,4,procedure/dbo/stringprocedure1.sql,MSCEWI4007
