OBJECT_TYPE, DATABASE_NAME,SCHEMA_NAME,OBJECT_NAME,RELATIVE_PATH,EXTENSION,TECHNOLOGY,STATUS,ISBINARY,CONTENT_TYPE,CONTENT_LINES,COMMENT_LINES,BLANK_LINES,SIZE,MANUAL_EFFORT,AUTOMATIC_EFFORT,PRIORITY,ID,CONVERSION_SCOPE,CONVERSION_STATUS,CONVERSION_DATE,ASSIGNED_TO,TESTING_STATUS,TESTING_DATE,RETESTING_DATE,DELIVERY_DATE,NOTES,ERROR_TYPE,ERROR_MESSAGE,DUPLICATES
table,,dbo,NumericTable,/tmp/Repo-e056ebe4-a491-4a45-8780-be2dcadce47e/Sources_arranged,sql,SQL,OK,FALSE,Code,19,,,,,,,table.dbo.NumericTable,Needed,Open,,,Open,,,,,,,0
procedure,,dbo,NumericProcedure1,/tmp/Repo-e056ebe4-a491-4a45-8780-be2dcadce47e/Sources_arranged,sql,SQL,OK,FALSE,Code,25,,,,,,,procedure.dbo.NumericProcedure1,Needed,Open,,,Open,,,,,,,0
procedure,,dbo,StringProcedure1,/tmp/Repo-e056ebe4-a491-4a45-8780-be2dcadce47e/Sources_arranged,sql,SQL,OK,FALSE,Code,31,,,,,,,procedure.dbo.StringProcedure1,Needed,Open,,,Open,,,,,,,0
procedure,,dbo,OBJECT_ID_PROCEDURE,/tmp/Repo-e056ebe4-a491-4a45-8780-be2dcadce47e/Sources_arranged,sql,SQL,OK,FALSE,Code,12,,,,,,,procedure.dbo.OBJECT_ID_PROCEDURE,Needed,Open,,,Open,,,,,,,0
procedure,,dbo,DateProcedure1,/tmp/Repo-e056ebe4-a491-4a45-8780-be2dcadce47e/Sources_arranged,sql,SQL,OK,FALSE,Code,12,,,,,,,procedure.dbo.DateProcedure1,Needed,Open,,,Open,,,,,,,0
unknown,,Selects,Selects,/tmp/Repo-e056ebe4-a491-4a45-8780-be2dcadce47e/Sources_arranged,sql,SQL,OK,FALSE,Code,1,,,,,,,unknown.Selects.Selects,Needed,Open,,,Open,,,,,,,11
procedure,,dbo,NumericProcedure2,/tmp/Repo-e056ebe4-a491-4a45-8780-be2dcadce47e/Sources_arranged,sql,SQL,OK,FALSE,Code,58,,,,,,,procedure.dbo.NumericProcedure2,Needed,Open,,,Open,,,,,,,0
unknown,,Views,Views,/tmp/Repo-e056ebe4-a491-4a45-8780-be2dcadce47e/Sources_arranged,sql,SQL,OK,FALSE,Code,3,,,,,,,unknown.Views.Views,Needed,Open,,,Open,,,,,,,6
table,,dbo,StringTable,/tmp/Repo-e056ebe4-a491-4a45-8780-be2dcadce47e/Sources_arranged,sql,SQL,OK,FALSE,Code,10,,,,,,,table.dbo.StringTable,Needed,Open,,,Open,,,,,,,0
procedure,,dbo,CONVERT_PROCEDURE,/tmp/Repo-e056ebe4-a491-4a45-8780-be2dcadce47e/Sources_arranged,sql,SQL,OK,FALSE,Code,6,,,,,,,procedure.dbo.CONVERT_PROCEDURE,Needed,Open,,,Open,,,,,,,0
procedure,,dbo,ERROR_PROCEDURE,/tmp/Repo-e056ebe4-a491-4a45-8780-be2dcadce47e/Sources_arranged,sql,SQL,OK,FALSE,Code,18,,,,,,,procedure.dbo.ERROR_PROCEDURE,Needed,Open,,,Open,,,,,,,0
table,,dbo,DateTable,/tmp/Repo-e056ebe4-a491-4a45-8780-be2dcadce47e/Sources_arranged,sql,SQL,OK,FALSE,Code,8,,,,,,,table.dbo.DateTable,Needed,Open,,,Open,,,,,,,0
procedure,,dbo,COALESCE_PROCEDURE,/tmp/Repo-e056ebe4-a491-4a45-8780-be2dcadce47e/Sources_arranged,sql,SQL,OK,FALSE,Code,5,,,,,,,procedure.dbo.COALESCE_PROCEDURE,Needed,Open,,,Open,,,,,,,0
